1826      931930      729560      -26020      680090
402      907100     -785750       20330     -836630
1055      753660     -838360     -134160     -896670
411      397770     -725220     -500070     -791380
1211       49010       50160     -875490      -17320
188      918060       48330      -10150       11950
1225      890340      544420      -58540      499270
1210      624000      444520     -317940      392160
1209       -8690      641540     -945780      560530
401      -29020     -915940     -930070    -1004070
-190        1460        5460     -921980      -63410
